filename,semantic_label,numeric_label,partition,task
000890.png,golden_retriever,0.0,test,target
005954.png,collie,1.0,val,target
000637.png,golden_retriever,0.0,test,target
000719.png,golden_retriever,0.0,val,target
000376.png,golden_retriever,0.0,val,target
001423.png,golden_retriever,0.0,train,target
004213.png,collie,1.0,val,target
000103.png,collie,1.0,test,target
003304.png,golden_retriever,0.0,val,target
001822.png,collie,1.0,train,target
005180.png,collie,1.0,val,target
000017.png,collie,1.0,test,target
002730.png,golden_retriever,0.0,val,target
002663.png,golden_retriever,0.0,val,target
003231.png,golden_retriever,0.0,train,target
005999.png,collie,1.0,train,target
003331.png,golden_retriever,0.0,train,target
002227.png,collie,1.0,train,target
000444.png,golden_retriever,0.0,train,target
000967.png,golden_retriever,0.0,train,target
000018.png,golden_retriever,0.0,val,target
000286.png,golden_retriever,0.0,train,target
001558.png,collie,1.0,train,target
001988.png,collie,1.0,train,target
001829.png,golden_retriever,0.0,val,target
000875.png,collie,1.0,train,target
000403.png,golden_retriever,0.0,test,target
007459.png,collie,1.0,test,target
000738.png,golden_retriever,0.0,train,target
003212.png,golden_retriever,0.0,train,target
000931.png,golden_retriever,0.0,test,target
006867.png,collie,1.0,test,target
001141.png,collie,1.0,train,target
002520.png,golden_retriever,0.0,train,target
004495.png,collie,1.0,train,target
000738.png,golden_retriever,0.0,test,target
000933.png,golden_retriever,0.0,val,target
000410.png,golden_retriever,0.0,test,target
007710.png,collie,1.0,test,target
000211.png,collie,1.0,test,target
000180.png,golden_retriever,0.0,train,target
000935.png,golden_retriever,0.0,test,target
001415.png,collie,1.0,train,target
001664.png,golden_retriever,0.0,train,target
002476.png,collie,1.0,train,target
002945.png,collie,1.0,train,target
000094.png,golden_retriever,0.0,train,target
000575.png,golden_retriever,0.0,val,target
005400.png,collie,1.0,val,target
001613.png,golden_retriever,0.0,val,target
003364.png,golden_retriever,0.0,train,target
001232.png,collie,1.0,train,target
000785.png,golden_retriever,0.0,test,target
000235.png,golden_retriever,0.0,train,target
003715.png,collie,1.0,train,target
000042.png,collie,1.0,val,target
004410.png,collie,1.0,train,target
000422.png,golden_retriever,0.0,val,target
000830.png,golden_retriever,0.0,test,target
002672.png,collie,1.0,val,target
003195.png,golden_retriever,0.0,val,target
007194.png,collie,1.0,test,target
005184.png,collie,1.0,train,target
002944.png,collie,1.0,val,target
002948.png,golden_retriever,0.0,val,target
004996.png,collie,1.0,train,target
006237.png,collie,1.0,test,target
003629.png,collie,1.0,train,target
000398.png,golden_retriever,0.0,train,target
000600.png,golden_retriever,0.0,test,target
000358.png,golden_retriever,0.0,val,target
001477.png,golden_retriever,0.0,val,target
001751.png,golden_retriever,0.0,train,target
000390.png,golden_retriever,0.0,val,target
000910.png,golden_retriever,0.0,train,target
006225.png,collie,1.0,test,target
000159.png,collie,1.0,val,target
004103.png,collie,1.0,train,target
000149.png,collie,1.0,test,target
002652.png,golden_retriever,0.0,train,target
006030.png,collie,1.0,test,target
000359.png,golden_retriever,0.0,val,target
004613.png,collie,1.0,val,target
000191.png,golden_retriever,0.0,train,target
000251.png,golden_retriever,0.0,val,target
004763.png,collie,1.0,train,target
004719.png,collie,1.0,train,target
003774.png,collie,1.0,train,target
006798.png,collie,1.0,test,target
000583.png,golden_retriever,0.0,train,target
004294.png,collie,1.0,train,target
001130.png,golden_retriever,0.0,val,target
000872.png,golden_retriever,0.0,test,target
005918.png,collie,1.0,train,target
