,filename,semantic_label,numeric_label,partition,task,partition_challenge
0,000890.png,golden_retriever,0.0,test,target,test
1,005954.png,collie,1.0,val,target,train
2,000637.png,golden_retriever,0.0,test,target,train
3,000719.png,golden_retriever,0.0,val,target,test
4,000376.png,golden_retriever,0.0,val,target,train
5,001423.png,golden_retriever,0.0,train,target,train
6,004213.png,collie,1.0,val,target,test
7,000103.png,collie,1.0,test,target,train
8,003304.png,golden_retriever,0.0,val,target,val
9,001822.png,collie,1.0,train,target,val
10,005180.png,collie,1.0,val,target,train
11,000017.png,collie,1.0,test,target,test
12,002730.png,golden_retriever,0.0,val,target,test
13,002663.png,golden_retriever,0.0,val,target,train
14,003231.png,golden_retriever,0.0,train,target,train
15,005999.png,collie,1.0,train,target,train
16,003331.png,golden_retriever,0.0,train,target,train
17,002227.png,collie,1.0,train,target,val
18,000444.png,golden_retriever,0.0,train,target,test
19,000967.png,golden_retriever,0.0,train,target,train
20,000018.png,golden_retriever,0.0,val,target,val
21,000286.png,golden_retriever,0.0,train,target,train
22,001558.png,collie,1.0,train,target,train
23,001988.png,collie,1.0,train,target,val
24,001829.png,golden_retriever,0.0,val,target,test
25,000875.png,collie,1.0,train,target,train
26,000403.png,golden_retriever,0.0,test,target,train
27,007459.png,collie,1.0,test,target,train
28,000738.png,golden_retriever,0.0,train,target,train
29,003212.png,golden_retriever,0.0,train,target,train
30,000931.png,golden_retriever,0.0,test,target,train
31,006867.png,collie,1.0,test,target,test
32,001141.png,collie,1.0,train,target,test
33,002520.png,golden_retriever,0.0,train,target,train
34,004495.png,collie,1.0,train,target,train
35,000738.png,golden_retriever,0.0,test,target,test
36,000933.png,golden_retriever,0.0,val,target,train
37,000410.png,golden_retriever,0.0,test,target,train
38,007710.png,collie,1.0,test,target,test
39,000211.png,collie,1.0,test,target,train
40,000180.png,golden_retriever,0.0,train,target,train
41,000935.png,golden_retriever,0.0,test,target,val
42,001415.png,collie,1.0,train,target,train
43,001664.png,golden_retriever,0.0,train,target,val
44,002476.png,collie,1.0,train,target,train
45,002945.png,collie,1.0,train,target,train
46,000094.png,golden_retriever,0.0,train,target,train
47,000575.png,golden_retriever,0.0,val,target,train
48,005400.png,collie,1.0,val,target,val
49,001613.png,golden_retriever,0.0,val,target,val
50,003364.png,golden_retriever,0.0,train,target,test
51,001232.png,collie,1.0,train,target,val
52,000785.png,golden_retriever,0.0,test,target,val
53,000235.png,golden_retriever,0.0,train,target,test
54,003715.png,collie,1.0,train,target,train
55,000042.png,collie,1.0,val,target,train
56,004410.png,collie,1.0,train,target,train
57,000422.png,golden_retriever,0.0,val,target,test
58,000830.png,golden_retriever,0.0,test,target,train
59,002672.png,collie,1.0,val,target,train
60,003195.png,golden_retriever,0.0,val,target,train
61,007194.png,collie,1.0,test,target,train
62,005184.png,collie,1.0,train,target,train
63,002944.png,collie,1.0,val,target,train
64,002948.png,golden_retriever,0.0,val,target,test
65,004996.png,collie,1.0,train,target,test
66,006237.png,collie,1.0,test,target,val
67,003629.png,collie,1.0,train,target,val
68,000398.png,golden_retriever,0.0,train,target,train
69,000600.png,golden_retriever,0.0,test,target,test
70,000358.png,golden_retriever,0.0,val,target,val
71,001477.png,golden_retriever,0.0,val,target,val
72,001751.png,golden_retriever,0.0,train,target,train
73,000390.png,golden_retriever,0.0,val,target,train
74,000910.png,golden_retriever,0.0,train,target,train
75,006225.png,collie,1.0,test,target,test
76,000159.png,collie,1.0,val,target,train
77,004103.png,collie,1.0,train,target,train
78,000149.png,collie,1.0,test,target,val
79,002652.png,golden_retriever,0.0,train,target,train
80,006030.png,collie,1.0,test,target,test
81,000359.png,golden_retriever,0.0,val,target,val
82,004613.png,collie,1.0,val,target,val
83,000191.png,golden_retriever,0.0,train,target,test
84,000251.png,golden_retriever,0.0,val,target,test
85,004763.png,collie,1.0,train,target,train
86,004719.png,collie,1.0,train,target,train
87,003774.png,collie,1.0,train,target,train
88,006798.png,collie,1.0,test,target,train
89,000583.png,golden_retriever,0.0,train,target,val
90,004294.png,collie,1.0,train,target,train
